Company_name,Symbol,gicSubindustry,Company_ESG_pulse,Market Cap,Volume,52w_change price percent,ESG_Group,Current_Price,Market_Cap_API
Chicago Rivet & Machine Co,CVR,Industrial Machinery,0.0,,,-47.39,Low ESG,10.1899995803833,9844885.0
"China High Speed Transmission Equipment Group Co., Ltd",CHSTF,Heavy Electrical Equipment,0.6249,,,5.36,High ESG,0.20630000531673431,337360640.0
China Index Holdings Ltd,CIH,,0.0,,,6.48,Low ESG,,
China Yuchai International Limited,CYD,Construction Machinery & Heavy Trucks,-0.085699,337080893.0,7101.0,8.68,Low ESG,50.029998779296875,1877041664.0
Cimpress NV,CMPR,Commercial Printing,0.0,,,113.72,Low ESG,88.87999725341797,2153747968.0
Civeo Corp,CVEO,Diversified Support Services,0.147425,396377104.0,28578.0,28.67,Medium ESG,34.529998779296875,377872000.0
"Clean Harbors, Inc",CLH,Environmental & Facilities Services,0.0495,10850181259.0,101284.0,38.85,Medium ESG,287.7799987792969,15208031232.0
"CoStar Group, Inc",CSGP,Research & Consulting Services,0.134468,,,33.52,Medium ESG,32.84000015258789,13410401280.0
"Comfort Systems USA, Inc",FIX,Construction & Engineering,0.0,10788527839.0,190220.0,134.63,Low ESG,1877.6099853515625,66061770752.0
CompX International Inc,CIX,Office Services & Supplies,0.802777,,,86.56,High ESG,25.770000457763672,317565184.0
Concrete Pumping Holdings Class A,BBCP,Construction & Engineering,0.0,,,12.67,Low ESG,11.119999885559082,560374848.0
"Concrete Pumping Holdings, Inc",BBCP,Construction & Engineering,0.0,,,12.67,Low ESG,11.119999885559082,560374848.0
Construction Partners Inc,ROAD,Construction & Engineering,0.875,,,120.05,High ESG,113.87000274658203,6437611520.0
"Copa Holdings, S.A",CPA,Airlines,0.0,2897270400.0,76380.0,17.24,Low ESG,141.69000244140625,5780875776.0
Corporacion America Airports S.A,CAAP,Airport Services,0.081775,2760095975.0,92766.0,62.15,Medium ESG,26.43000030517578,4313976320.0
Costamare Inc,CMRE,Marine,0.180767,1320468920.0,264126.0,16.89,Medium ESG,16.600000381469727,2004256768.0
Crane Company,CR,Industrial Machinery,-0.096284,7713632235.0,68452.0,68.32,Low ESG,206.57000732421875,11928526848.0
Cummins Inc,CMI,Construction Machinery & Heavy Trucks,0.209578,42636493934.0,351460.0,29.04,Medium ESG,659.5800170898438,91014832128.0
Curtiss-Wright Corporation,CW,Aerospace & Defense,0.34,9697794368.0,59289.0,42.13,Medium ESG,758.0,28001402880.0
Custom Truck One Source Inc,CTOS,,-0.6705,1374317104.0,371722.0,-13.05,Low ESG,10.65999984741211,2424433664.0
DCC plc,DCCPF,Industrial Conglomerates,0.54665,,,-22.88,High ESG,85.31999969482422,7288387072.0
DLH Holdings Corp,DLHC,Human Resource & Employment Services,0.0,,,17.23,Low ESG,5.510000228881836,79856624.0
DSS Inc,DSS,Commercial Printing,0.435526,,,841.39,High ESG,0.5879999995231628,5900983.0
Danaos Corporation,DAC,Marine,0.36663,1430186960.0,79167.0,29.07,Medium ESG,131.3000030517578,2390122752.0
"Daseke, Inc",DSKE,Trucking,0.209068,,,7.24,Medium ESG,,
"Delta Air Lines, Inc",DAL,Airlines,0.005773,29695828962.0,27386937.0,38.06,Medium ESG,83.05999755859375,54569951232.0
Deluxe Corporation,DLX,Commercial Printing,0.350628,840584032.0,112910.0,25.32,Medium ESG,23.790000915527344,1089202816.0
Diana Shipping inc,DSX,Marine,0.0,338869201.0,402627.0,-28.69,Low ESG,2.390000104904175,295264608.0
"Donaldson Company, Inc",DCI,Industrial Machinery,0.256396,8932592915.0,152007.0,16.75,Medium ESG,86.4000015258789,10014715904.0
"Douglas Dynamics, Inc",PLOW,Construction Machinery & Heavy Trucks,0.511033,511623061.0,202736.0,-25.17,High ESG,47.189998626708984,1091277824.0
Dover Corporation,DOV,Industrial Machinery,0.252655,24321036080.0,441686.0,17.31,Medium ESG,217.42999267578125,29279428608.0
Ducommun Incorporated,DCO,Aerospace & Defense,0.636843,809216582.0,134944.0,4.76,High ESG,164.5399932861328,2482177792.0
Dun & Bradstreet Holdings Inc.,DNB,Research & Consulting Services,-0.7964,4177338282.0,1528580.0,-16.29,Low ESG,,
"Dycom Industries, Inc",DY,Construction & Engineering,-0.861146,4004322917.0,77183.0,50.38,Low ESG,469.0,14078723072.0
"EMCOR Group, Inc",EME,Construction & Engineering,0.505,16578149534.0,277395.0,127.03,High ESG,823.0499877929688,36652527616.0
ESCO Technologies Inc,ESE,Industrial Machinery,0.3243,2613364852.0,42585.0,7.92,Medium ESG,313.739990234375,8128115712.0
ESS Tech Inc,GWH,Electrical Components & Equipment,0.043213,121606639.0,454080.0,-42.4,Medium ESG,0.8270000219345093,24301904.0
EVI Industries Inc,EVI,Trading Companies & Distributors,0.9538,,,14.56,High ESG,16.889999389648438,217359312.0
Eagle Bulk Shipping Inc,EGLE,Marine,-0.498433,,,45.77,Low ESG,30.64900016784668,
Eaton Corporation plc,ETN,Electrical Components & Equipment,0.532476,126146000000.0,1413909.0,96.52,High ESG,391.3900146484375,151976738816.0
Ehang Holdings Ltd,EH,Aerospace & Defense,0.8126,,,69.38,High ESG,6.630000114440918,502854752.0
Elbit Systems Ltd,ESLT,Aerospace & Defense,0.725562,,,15.89,High ESG,854.0599975585938,40000696320.0
Emerson Electric Co,EMR,Electrical Components & Equipment,0.243336,65099479000.0,996864.0,35.59,Medium ESG,143.07000732421875,80133505024.0
"EnPro Industries, Inc",NPO,Industrial Machinery,0.0,3347736558.0,26517.0,61.62,Low ESG,334.6000061035156,7068981760.0
"EnSync, Inc",ESNC,Electrical Components & Equipment,0.737442,,,0.0,High ESG,9.999999747378752e-05,6808.0
EnerSys,ENS,Electrical Components & Equipment,0.790705,3642893907.0,100006.0,11.11,High ESG,224.25999450683594,8189475328.0
Energous Corporation,WATT,Electrical Components & Equipment,0.5755,,,272.92,High ESG,23.709999084472656,130431096.0
Energy Focu,EFOI,Electrical Components & Equipment,0.0,,,158.93,Low ESG,3.0199999809265137,19235050.0
Energy Vault Holdings Inc,NRGV,Electrical Components & Equipment,0.404279,188261585.0,1717101.0,-37.13,Medium ESG,4.300000190734863,766458688.0
Enerpac Tool Group Corp,EPAC,,0.52978,1886938121.0,104368.0,45.79,High ESG,35.04999923706055,1849809408.0
Eneti Inc,NETI,Marine,-0.155029,,,15.85,Low ESG,,
"Ennis, Inc",EBF,Commercial Printing,0.307561,505850365.0,64757.0,-4.98,Medium ESG,20.75,524939136.0
Enovix Corp,ENVX,Electrical Components & Equipment,0.0,,,-49.18,Low ESG,6.659999847412109,1452901888.0
Equifax Inc,EFX,Research & Consulting Services,-0.315948,30826714878.0,680578.0,27.13,Low ESG,163.7100067138672,19749091328.0
Espey Mfg. & Electronics Corp,ESP,Electrical Components & Equipment,0.8998,,,12.47,High ESG,59.2599983215332,177538336.0
Euro Tech Holdings Company Ltd,CLWT,Trading Companies & Distributors,0.0,,,4.97,Low ESG,1.2799999713897705,9486674.0
EuroDry Ltd,EDRY,Marine,0.6124,,,24.52,High ESG,22.459999084472656,64921684.0
Euroseas Ltd,ESEA,Marine,0.418133,,,86.94,Medium ESG,71.5199966430664,504636576.0
Evoqua Water Technologies Corp,AQUA,Industrial Machinery,0.376248,,,36.76,Medium ESG,,
"FTI Consulting, Inc",FCN,Research & Consulting Services,0.095247,7333725217.0,51477.0,1.03,Medium ESG,158.57000732421875,4779941376.0
FedEx Corporation,FDX,Air Freight & Logistics,0.386622,66214177806.0,1219414.0,18.33,Medium ESG,338.30999755859375,80723050496.0
Federal Signal Corporation,FSS,Construction Machinery & Heavy Trucks,0.738662,5089526099.0,167856.0,63.12,High ESG,109.11000061035156,6655955968.0
Flowserve Corporation,FLS,Industrial Machinery,0.456644,6224092152.0,263966.0,42.16,High ESG,78.06999969482422,9977893888.0
Fluor Corporation,FLR,Construction & Engineering,0.135409,7092277409.0,792288.0,35.96,Medium ESG,50.7599983215332,7089643520.0
Flux Power Holdings Inc,FLUX,Electrical Components & Equipment,0.712965,,,9.4,High ESG,0.8460000157356262,18063186.0
"Forrester Research, Inc",FORR,Research & Consulting Services,0.380359,,,-41.29,Medium ESG,6.989999771118164,135689872.0
Fortive Corporation,FTV,Industrial Machinery,0.542816,29389401035.0,553378.0,24.26,High ESG,60.13999938964844,18334341120.0
Forward Air Corporation,FWRD,Air Freight & Logistics,-0.118157,,,-73.61,Low ESG,13.329999923706055,421561856.0
Franklin Covey Co,FC,Research & Consulting Services,0.049567,508749773.0,87813.0,1.66,Medium ESG,24.31999969482422,274145824.0
Frontier Group Holdings Inc,ULCC,Airlines,0.0,,,-28.59,Low ESG,6.25,1436183296.0
GATX Corporation,GATX,Trading Companies & Distributors,0.275433,4623786250.0,69568.0,16.17,Medium ESG,174.57000732421875,6197716992.0
"GEE Group, Inc",JOB,Human Resource & Employment Services,-0.064043,,,-17.4,Low ESG,0.23000000417232513,25160388.0
GMS Inc,GMS,Trading Companies & Distributors,0.558527,3839165067.0,168433.0,77.94,High ESG,,
Gates Industrial Corporation plc,GTES,Industrial Machinery,0.417531,4590395173.0,721130.0,29.98,Medium ESG,27.139999389648438,6893558272.0
