Company_name,Symbol,gicSubindustry,Company_ESG_pulse,Market Cap,Volume,52w_change price percent
Cummins Inc,CMI,Construction Machinery & Heavy Trucks,0.209578,42636493934.0,351460.0,29.04
Curtiss-Wright Corporation,CW,Aerospace & Defense,0.34,9697794368.0,59289.0,42.13
Custom Truck One Source Inc,CTOS,,-0.6705,1374317104.0,371722.0,-13.05
DCC plc,DCCPF,Industrial Conglomerates,0.54665,,,-22.88
DFDS A/S,DFDDF,Marine,0.116474,,,
DLH Holdings Corp,DLHC,Human Resource & Employment Services,0.0,,,17.23
DSS Inc,DSS,Commercial Printing,0.435526,,,841.39
DSV Panalpina A/S,DSDVF,Trucking,0.603138,,,
"DXP Enterprises, Inc",DXPE,Trading Companies & Distributors,0.570219,,,
Dalian Port (PDA) Company Limited,DLPTF,Marine Ports & Services,0.0,,,
Dampskibsselskabet Norden A/S,DPBSF,Marine,0.0,,,
Danaos Corporation,DAC,Marine,0.36663,1430186960.0,79167.0,29.07
Dart Group PLC,DRTGF,Airlines,0.9325,,,
"Daseke, Inc",DSKE,Trucking,0.209068,,,7.24
Deere & Company,DE,Agricultural & Farm Machinery,0.196236,114347000000.0,787914.0,
"Delta Air Lines, Inc",DAL,Airlines,0.005773,29695828962.0,27386937.0,38.06
Deluxe Corporation,DLX,Commercial Printing,0.350628,840584032.0,112910.0,25.32
Deutsche Lufthansa AG,DLAKF,Airlines,0.146097,,,
Dialog Semiconductor Plc,DLGNF,Industrial Conglomerates,0.8556,,,
Diana Shipping inc,DSX,Marine,0.0,338869201.0,402627.0,-28.69
"Donaldson Company, Inc",DCI,Industrial Machinery,0.256396,8932592915.0,152007.0,16.75
Dongfang Electric Corporation Limited,DNGFF,Heavy Electrical Equipment,0.505806,,,
"Douglas Dynamics, Inc",PLOW,Construction Machinery & Heavy Trucks,0.511033,511623061.0,202736.0,-25.17
Dover Corporation,DOV,Industrial Machinery,0.252655,24321036080.0,441686.0,17.31
Ducommun Incorporated,DCO,Aerospace & Defense,0.636843,809216582.0,134944.0,4.76
Dun & Bradstreet Holdings Inc.,DNB,Research & Consulting Services,-0.7964,4177338282.0,1528580.0,-16.29
"Dycom Industries, Inc",DY,Construction & Engineering,-0.861146,4004322917.0,77183.0,50.38
"EMCOR Group, Inc",EME,Construction & Engineering,0.505,16578149534.0,277395.0,127.03
ENAV S.p.A,EENNF,Airport Services,0.415933,,,
ESCO Technologies Inc,ESE,Industrial Machinery,0.3243,2613364852.0,42585.0,7.92
ESS Tech Inc,GWH,Electrical Components & Equipment,0.043213,121606639.0,454080.0,-42.4
EVI Industries Inc,EVI,Trading Companies & Distributors,0.9538,,,14.56
Eagle Bulk Shipping Inc,EGLE,Marine,-0.498433,,,45.77
East Japan Railway Company,EJPRF,Railroads,-0.026936,,,
Eaton Corporation plc,ETN,Electrical Components & Equipment,0.532476,126146000000.0,1413909.0,96.52
"Echo Global Logistics, Inc",ECHO,Air Freight & Logistics,-0.093941,,,
Ehang Holdings Ltd,EH,Aerospace & Defense,0.8126,,,69.38
El Al Israel Airlines Ltd,ELALF,Airlines,0.0,,,
Elbit Systems Ltd,ESLT,Aerospace & Defense,0.725562,,,15.89
Elis SA,ELSSF,Diversified Support Services,0.363086,,,
Embraer S.A,ERJ,Aerospace & Defense,0.264394,4747564522.0,690819.0,
Emerson Electric Co,EMR,Electrical Components & Equipment,0.243336,65099479000.0,996864.0,35.59
"EnPro Industries, Inc",NPO,Industrial Machinery,0.0,3347736558.0,26517.0,61.62
"EnSync, Inc",ESNC,Electrical Components & Equipment,0.737442,,,0.0
Encore Wire Corporation,WIRE,Electrical Components & Equipment,0.665567,,,
EnerSys,ENS,Electrical Components & Equipment,0.790705,3642893907.0,100006.0,11.11
Energous Corporation,WATT,Electrical Components & Equipment,0.5755,,,272.92
Energy Focu,EFOI,Electrical Components & Equipment,0.0,,,158.93
"Energy Recovery, Inc",ERII,Industrial Machinery,0.318028,,,
Energy Vault Holdings Inc,NRGV,Electrical Components & Equipment,0.404279,188261585.0,1717101.0,-37.13
Enerpac Tool Group Corp,EPAC,,0.52978,1886938121.0,104368.0,45.79
Eneti Inc,NETI,Marine,-0.155029,,,15.85
