Company_name,Symbol,gicSubindustry,Company_ESG_pulse,Market Cap,Volume,52w_change price percent
"Hurco Companies, Inc",HURC,Industrial Machinery,0.924067,,,-27.74
Huron Consulting Group Inc,HURN,Research & Consulting Services,0.0,,,
"Huttig Building Products, Inc",HBP,Trading Companies & Distributors,0.0,,,
Hyliion Holdings Corp,HYLN,Industrial Machinery,0.44033,272064437.0,762867.0,-6.01
"Hyster-Yale Materials Handling, Inc",HY,Industrial Machinery,0.0,1094100016.0,42109.0,35.64
IAA Inc,IAA,Specialized Consumer Services,0.360412,,,1.22
"ICF International, Inc",ICFI,Research & Consulting Services,0.69715,,,30.38
IDEX Corporation,IEX,Industrial Machinery,0.33549,17902063816.0,110881.0,6.22
IES Holdings Inc,IESC,Construction & Engineering,0.7184,,,202.96
IHS Markit Ltd,INFO,Research & Consulting Services,0.118252,,,
IMCD N.V,IMDZF,Trading Companies & Distributors,0.749118,,,
IMI plc,IMIAF,Industrial Machinery,0.443906,,,
ISS A/S,ISFFF,Diversified Support Services,0.029022,,,
ITOCHU Corporation,ITOCF,Trading Companies & Distributors,0.520369,,,
ITT Inc,ITT,Industrial Machinery,0.068561,10705840000.0,66304.0,55.97
IWG plc,IWGFF,Office Services & Supplies,0.9451,,,
Icahn Enterprises LP,IEP,Industrial Conglomerates,-0.192721,,,-66.83
Ideal Power Inc,IPWR,Electrical Components & Equipment,0.878762,,,
Illinois Tool Works Inc,ITW,Industrial Machinery,0.164457,77514696000.0,413727.0,11.66
"India Globalization Capital, Inc",IGC,,0.0,,,52.25
"Industrial Services of America, Inc",IDSA,Environmental & Facilities Services,-0.696483,,,
Ingersoll Rand Inc,IR,Industrial Machinery,-0.045364,37567958923.0,551473.0,62.33
"Innovative Solutions and Support, Inc",ISSC,Aerospace & Defense,0.6908,,,-8.74
"Insperity, Inc",NSP,Human Resource & Employment Services,-0.532181,3895999333.0,104236.0,-14.08
"Insteel Industries, Inc",IIIN,Building Products,0.6808,660745221.0,40365.0,
"Interface, Inc",TILE,Office Services & Supplies,-0.115703,,,
"International Consolidated Airlines Group, S.A",BABWF,Airlines,0.0,,,
Intertek Group plc,IKTSF,Research & Consulting Services,0.542834,,,
"J.B. Hunt Transport Services, Inc",JBHT,Trucking,0.799782,,,
"JELD-WEN Holding, Inc",JELD,Building Products,-0.309258,1674675313.0,1360954.0,67.86
Jacobs Engineering Group Inc,J,Construction & Engineering,0.362117,18208083077.0,99358.0,
Janone Inc,JAN,,-0.0574,,,207.61
"Jason Industries, Inc",JASN,Industrial Machinery,0.313814,,,
JetBlue Airways Corporation,JBLU,Airlines,-0.066067,,,-1.88
Jewett-Cameron Trading Company Ltd,JCTCF,Building Products,0.0,,,-4.32
Jiangsu Expressway Company Limited,JEXYF,Highways & Railtracks,0.0,,,
John Bean Technologies Corporation,JBT,Industrial Machinery,-0.089662,2996167487.0,120049.0,-10.3
Johnson Controls International plc,JCI,Building Products,0.342368,44415266473.0,2257341.0,12.55
Johnson Electric Holdings Limited,JEHLY,Electrical Components & Equipment,0.0,,,
"KAR Auction Services, Inc",KAR,Diversified Support Services,0.268575,1857843387.0,434915.0,28.94
KION GROUP AG,KIGRY,Construction Machinery & Heavy Trucks,0.462449,,,
KONE Oyj,KNYJF,Industrial Machinery,0.527817,,,
Kadant Inc,KAI,Industrial Machinery,0.6123,3440056088.0,50945.0,52.44
Kaman Corporation,KAMN,Trading Companies & Distributors,0.264722,1298715577.0,306719.0,106.06
Kansas City Southern,KSU,Railroads,-0.392613,,,
"Kelly Services, Inc",KELYA,Human Resource & Employment Services,0.381582,,,
Kennametal Inc,KMT,Industrial Machinery,0.45947,1881468276.0,215981.0,-12.4
Kerry Logistics Network Limited,KRRYF,Air Freight & Logistics,0.0,,,
Kforce Inc,KFRC,Human Resource & Employment Services,0.4767,,,
"Kimball International, Inc",KBAL,Office Services & Supplies,-0.007943,,,
Kirby Corporation,KEX,Marine,0.052555,5817379410.0,134404.0,41.77
Knight-Swift Transportation Holdings Inc,KNX,Trucking,0.197625,8306469275.0,1541236.0,-6.74
"Knoll, Inc",KNL,Office Services & Supplies,-0.523892,,,
Komatsu Ltd,KMTUF,Construction Machinery & Heavy Trucks,0.441635,,,
Kongsberg Gruppen ASA,KOG,Aerospace & Defense,0.515717,,,
Korn Ferry,KFY,Human Resource & Employment Services,0.362285,3284746045.0,153615.0,22.96
Kornit Digital Ltd,KRNT,Industrial Machinery,-0.661145,,,
"Kratos Defense & Security Solutions, Inc",KTOS,Aerospace & Defense,0.718607,,,
Kurita Water Industries Ltd,KTWIF,Industrial Machinery,0.325372,,,
L.B. Foster Company,FSTR,Industrial Machinery,-0.282644,,,
L3Harris Technologies Inc,LHX,Communications Equipment,0.254633,39049104162.0,662554.0,1.19
LATAM Airlines Group S.A,LTM,Airlines,0.524329,,,
LSI Industries Inc,LYTS,Electrical Components & Equipment,0.050775,,,
LYFT Inc,LYFT,Specialized Consumer Services,-0.124566,,,
"Landstar System, Inc",LSTR,Trucking,0.36184,,,
"Lawson Products, Inc",LAWS,Trading Companies & Distributors,-0.705311,,,
Lennox International Inc,LII,Building Products,0.649854,16627700166.0,128007.0,88.42
Lightbridge Corporation,LTBR,Research & Consulting Services,0.437901,,,
"Limbach Holdings, Inc",LMB,Construction & Engineering,-0.89255,,,122.7
"Lincoln Electric Holdings, Inc",LECO,Industrial Machinery,0.53294,,,
Lindsay Corporation,LNN,Agricultural & Farm Machinery,0.324461,1264765664.0,58896.0,-10.98
Lockheed Martin Corporation,LMT,Aerospace & Defense,0.189829,109045000000.0,685903.0,
Lonking Holdings Limited,LKHLY,Construction Machinery & Heavy Trucks,0.0,,,
Luxfer Holdings PLC,LXFR,Industrial Machinery,0.821673,,,-35.21
"Lydall, Inc",LDL,Industrial Machinery,-0.524081,,,
MICT Inc,MICT,Aerospace & Defense,0.6369,,,402.3
MRC Global Inc,MRC,Trading Companies & Distributors,0.583125,1062895791.0,226475.0,34.07
MSA Safety Incorporated,MNESP,Office Services & Supplies,0.626165,,,
"MSC Industrial Direct Co., Inc",MSM,Trading Companies & Distributors,0.7961,5222444676.0,484604.0,5.81
MTR Corporation Limited,MTCPY,Railroads,0.0,,,
MYR Group Inc,MYRG,Construction & Engineering,0.803644,,,
Macquarie Infrastructure Corporation,MIC,Airport Services,-0.197311,,,
"Manitex International, Inc",MNTX,Construction Machinery & Heavy Trucks,0.74825,,,13.19
Manitowoc Company Inc,MTW,Construction Machinery & Heavy Trucks,0.39896,468719206.0,163865.0,-11.8
ManpowerGroup Inc,MAN,Human Resource & Employment Services,0.90088,3505157491.0,145140.0,-7.43
"Marten Transport, Ltd",MRTN,Trucking,0.21875,,,
Marubeni Corporation,MARUF,Trading Companies & Distributors,0.424897,,,
"MasTec, Inc",MTZ,Construction & Engineering,0.450255,7081435906.0,239311.0,-1.35
Masco Corporation,MAS,Building Products,0.31124,16343918216.0,1393206.0,52.9
Masonite International Corporation,DOOR,Building Products,-0.169225,2870519318.0,424334.0,44.45
"Mastech Digital, Inc",MHH,Human Resource & Employment Services,-0.26702,,,-7.8
"Matson, Inc",MATX,Marine,-0.224781,3713463397.0,96347.0,82.41
Matthews International Corporation,MATW,Diversified Support Services,0.5546,,,
Maxar Technologies Inc,MAXR,Aerospace & Defense,-0.174969,,,60.43
McGrath RentCorp,MGRC,Diversified Support Services,-0.159012,,,30.76
Melrose Industries PLC,MRO,Heavy Electrical Equipment,0.121,,,
"Mercury Systems, Inc",MRCY,Aerospace & Defense,-0.670687,,,
"Meritor, Inc",MTOR,Construction Machinery & Heavy Trucks,-0.367281,,,
Mesa Air Group Inc,MESA,Airlines,0.069817,,,
Metallurgical Corporation of China Ltd,MLLUY,Construction & Engineering,0.0,,,
"Millennium Cell, Inc",MCELQ,Electrical Components & Equipment,0.0,,,-70.0
"Miller Industries, Inc",MLLS,Construction Machinery & Heavy Trucks,0.0,,,
MinebeaMitsumi Inc,MNBEF,Industrial Machinery,0.4427,,,
"Mistras Group, Inc",MG,Research & Consulting Services,0.0,278776544.0,52276.0,20.08
Mitsubishi Corporation,MSBHF,Trading Companies & Distributors,0.339501,,,
Mitsubishi Electric Corporation,MIELF,Heavy Electrical Equipment,0.377906,,,
"Mobile Mini, Inc",MINI,Diversified Support Services,-0.199229,,,
Moog Inc,MOG-A,,0.185652,,,
"Mueller Industries, Inc",MLI,Industrial Machinery,0.0,5869244858.0,266193.0,-25.54
"Mueller Water Products, Inc",MWA,Industrial Machinery,-0.149741,2358277457.0,683697.0,9.81
"NL Industries, Inc",NL,Office Services & Supplies,0.424768,409708047.0,47578.0,30.19
"NN, Inc",NNBR,Industrial Machinery,0.437831,,,271.56
DNOW Inc,DNOW,Trading Companies & Distributors,0.378892,1592491440.0,369159.0,40.63
"NV5 Global, Inc",NVEE,Construction & Engineering,0.34,,,-2.95
NWS Holdings Limited,NWSGY,Industrial Conglomerates,-0.5849,,,
"National Presto Industries, Inc",NPK,Aerospace & Defense,0.0411,559859797.0,14084.0,12.59
Navios Maritime Holdings Inc,NM,Marine,-0.049053,,,33.82
Navios Maritime Partners LP Unit,NMM,Marine,0.0,1253255790.0,119054.0,78.4
Navistar International Corporation,NAV,Construction Machinery & Heavy Trucks,-0.150632,,,
Nel ASA,NLLSY,Construction & Engineering,0.728017,,,
Nidec Corporation,NJDCY,Electrical Components & Equipment,0.415964,,,
Nielsen Holdings plc,NLSN,Research & Consulting Services,0.071421,,,
Nihon M&A Center Inc,NHMAF,Research & Consulting Services,0.368,,,
Nordson Corporation,NDSN,Industrial Machinery,0.250388,,,
Norfolk Southern Corporation,NSC,Railroads,-0.014925,56323554020.0,557071.0,20.05
Northrop Grumman Corporation,NOC,Aerospace & Defense,0.244398,68590322898.0,498713.0,-2.95
Northwest Pipe Company,NWPX,Construction & Engineering,0.210236,,,16.4
Ocean Power Technologies Inc,OPTT,Heavy Electrical Equipment,0.415775,,,
"Odyssey Marine Exploration, Inc",OMEX,Diversified Support Services,0.0,,,16.72
"Old Dominion Freight Line, Inc",ODFL,Trucking,0.1482,,,
"Omega Flex, Inc",OFLX,Industrial Machinery,0.4588,,,-33.35
Orient Overseas (International) Limited,OROVF,Marine,0.0,,,
"Orion Energy Systems, Inc",OESX,Electrical Components & Equipment,0.869318,,,
"Orion Group Holdings, Inc",ORN,Construction & Engineering,0.23575,272107801.0,214790.0,231.78
Oshkosh Corporation,OSK,Construction Machinery & Heavy Trucks,0.413956,8130034001.0,135777.0,54.16
Osterreichische Post AG,OERCF,Air Freight & Logistics,0.0,,,
Otis Worldwide Corporation,OTIS,Specialty Industrial Machinery,0.415707,39580480590.0,518859.0,20.34
Outotec Oyj,OUKPF,Construction Machinery & Heavy Trucks,0.480277,,,
Owens Corning,OC,Building Products,0.615533,14441278785.0,228005.0,70.13
"P.A.M. Transportation Services, Inc",PTSI,Trucking,0.6124,,,-45.56
PACCAR Inc,PCAR,Construction Machinery & Heavy Trucks,0.434434,,,
"PGT Innovations, Inc",PGTI,Building Products,0.100259,,,82.91
Pacific Basin Shipping Limited,PCFBF,Marine,0.0,,,
Pangaea Logistic,PANL,Marine,0.0,,,12.31
Paragon Shipping Inc,PRGNF,Marine,0.0,,,900.0
Park Electrochemical Corporation,PKE,Electronic Manufacturing Services,0.0,314534696.0,17823.0,18.53
Park-Ohio Holdings Corp,PKOH,Industrial Machinery,-0.5423,,,108.13
Parker-Hannifin Corporation,PH,Industrial Machinery,-0.0145,71365616219.0,244389.0,70.67
Parsons Corp,PSN,Aerospace & Defense,0.2732,8532509807.0,410406.0,72.78
"Patrick Industries, Inc",PATK,Building Products,-0.05135,,,59.65
Patriot Transportation Holding Inc,PATI,Trucking,-0.6486,,,119.14
Pendrell Corp,PCOA,Research & Consulting Services,0.2443,,,
Pentair plc,PNR,Industrial Machinery,0.563965,13589670296.0,771602.0,53.17
Performant Financial Corporation,PFMT,Diversified Support Services,0.7184,,,
"Perma-Fix Environmental Services, Inc",PESI,Environmental & Facilities Services,-0.8591,,,-6.41
"Pioneer Power Solutions, Inc",PPSI,Heavy Electrical Equipment,0.0,,,0.23
Pitney Bowes Inc,PBI,Office Services & Supplies,0.508479,710528030.0,1140166.0,5.06
Plug Power Inc,PLUG,Electrical Components & Equipment,0.36355,,,
"Polar Power, Inc",POLA,Heavy Electrical Equipment,0.567905,,,-65.52
"Powell Industries, Inc",POWL,Electrical Components & Equipment,0.0,,,218.94
"Power Solutions International, Inc",PSIX,Heavy Electrical Equipment,0.79924,,,47.5
Preformed Line Products Company,PLPC,Electrical Components & Equipment,0.0,,,0.95
"Proto Labs, Inc",PRLB,Industrial Machinery,0.212998,835449163.0,52747.0,5.96
Prysmian S.p.A,PRYMF,Electrical Components & Equipment,0.559194,,,
QinetiQ Group plc,QQ,Aerospace & Defense,0.574662,,,
"Quad/Graphics, Inc",QUAD,Commercial Printing,-0.278819,262456308.0,86884.0,25.63
Quanex Building Products,NX,Building Products,0.0,1202984570.0,77796.0,79.07
"Quanta Services, Inc",PWR,Construction & Engineering,0.561613,37203723290.0,410578.0,54.38
Quest Resource Holding Corporation,QRHC,Environmental & Facilities Services,-0.2023,,,53.38
R. R. Donnelley & Sons Company,RRD,Commercial Printing,-0.27185,,,
RBC Bearings Incorporated,RBC,Industrial Machinery,-0.34483,,,
"RCM Technologies, Inc",RCMT,Research & Consulting Services,0.540242,,,61.92
RELX NV,RENX,Research & Consulting Services,0.503,,,
RELX PLC,RELX,Research & Consulting Services,0.357438,78305521435.0,1239860.0,
"REV Group, Inc",REVG,Construction Machinery & Heavy Trucks,0.060715,1183117367.0,740342.0,97.76
"Radiant Logistics, Inc",RLGT,Air Freight & Logistics,0.0,,,-17.98
Randstad N.V,RANJF,Human Resource & Employment Services,0.566697,,,
"Raven Industries, Inc",RAVN,Industrial Conglomerates,0.059789,,,
Raytheon Technologies Corporation,RTX,Aerospace & Defense,-0.490276,134978000000.0,3046700.0,-1.12
Red Violet Inc,RDVT,Research & Consulting Services,0.0,,,
Regal Beloit Corporation,RBC,Electrical Components & Equipment,-0.003067,7645225573.0,36000.0,17.31
Rekor Systems Inc,REKR,,0.67745,,,66.08
Rentokil Initial plc,RKLIF,Environmental & Facilities Services,-0.587395,,,
"Republic Services, Inc",RSG,Environmental & Facilities Services,-0.048137,59618704721.0,615469.0,37.66
Resideo Technologies Inc,REZI,Building Products,0.424877,3118541062.0,216246.0,19.82
Rexel S.A,RXL,Trading Companies & Distributors,0.781167,,,
Roadrunner Transportation Systems Inc,RRTS,Trucking,0.0,,,-31.54
Robert Half International Inc,RHI,Human Resource & Employment Services,0.696386,7708102145.0,437656.0,-1.79
"Rockwell Automation, Inc",ROK,Electrical Components & Equipment,0.350406,32125300408.0,402448.0,0.97
"Rollins, Inc",ROL,Environmental & Facilities Services,-0.250393,21866768302.0,729698.0,14.76
Rolls-Royce Holdings plc,RLLCF,Aerospace & Defense,0.207408,,,
"Roper Technologies, Inc",ROP,Industrial Conglomerates,0.052458,,,21.55
Rotork plc,ROR,Industrial Machinery,0.352165,,,
Royal Mail plc,ROYMF,Air Freight & Logistics,-0.164311,,,
"Rush Enterprises, Inc",RUSHA,Trading Companies & Distributors,0.36795,,,
Ryanair Holdings plc,RYA,Airlines,-0.195025,,,53.38
"Ryder System, Inc",R,Trucking,0.456381,5135683591.0,103670.0,34.76
SG Blocks Inc,SGBX,Industrial Machinery,0.0,,,-82.21
"SIFCO Industries, Inc",SIF,Aerospace & Defense,-0.201142,,,-7.6
SITC International Holdings Company Limited,SITIY,Marine,0.0,,,
SMC Corporation,SMCAY,Industrial Machinery,0.112343,,,
SP Plus Corporation,SP,Environmental & Facilities Services,-0.28333,,,
SPX Corp,SPXC,Industrial Machinery,0.0,5574166636.0,189010.0,80.55
"SPX FLOW, Inc",FLOW,Industrial Machinery,0.441118,,,18.37
Safe Bulkers Inc,SB,Marine,0.7845,529021105.0,358915.0,29.46
Safran SA,SAFRF,Aerospace & Defense,-0.045704,,,
"Saia, Inc",SAIA,Trucking,0.831853,,,
Sandvik AB,SDVKF,Industrial Machinery,0.559682,,,
Sany Heavy Equipment International Holdings Company Limited,SNYYF,Construction Machinery & Heavy Trucks,0.0,,,
"Schneider National, Inc",SNDR,Trucking,0.556761,3859361664.0,315758.0,-17.8
Seanergy Maritime Holdings Corp,SHIP,Marine,0.566285,,,
Sensata Technologies Holding plc,ST,Electrical Components & Equipment,0.6808,5270207512.0,397437.0,-25.35
Serco Group plc,SCGPY,Environmental & Facilities Services,0.248114,,,
"Servotronics, Inc",SVT,Electrical Components & Equipment,0.772671,,,12.22
Shanghai Electric Group Company Limited,SIELY,Heavy Electrical Equipment,0.782795,,,
Shanghai Industrial Holdings Limited,SGHIF,Industrial Conglomerates,0.0,,,
Sharing Economy International Inc,SEII,Industrial Machinery,0.52572,,,-94.63
Shenzhen Expressway Company Limited,SHZNF,Highways & Railtracks,0.213327,,,
Shenzhen International Holdings Limited,SZIHF,Highways & Railtracks,0.0,,,-10.96
Shun Tak Holdings Limited,SHTGF,Industrial Conglomerates,0.1531,,,
Shyft Group Inc,SHYF,Industrial Machinery,0.337721,,,-46.57
Sichuan Expressway Company Limited,SEXHF,Highways & Railtracks,0.0,,,
Siemens Aktiengesellschaft,SIEGY,Industrial Conglomerates,0.507171,,,
Signify N.V,PHPPY,Electrical Components & Equipment,0.5141,,,
"Simpson Manufacturing Co., Inc",SSD,Building Products,0.446683,7697258663.0,134233.0,69.39
Singamas Container Holdings Limited,SNGSF,Industrial Machinery,0.0,,,
Sinotrans Limited,SNOTF,Air Freight & Logistics,0.7579,,,
Sinotruk (Hong Kong) Limited,SHKLY,Construction Machinery & Heavy Trucks,0.0,,,
SiteOne Landscape Supply Inc,SITE,Trading Companies & Distributors,0.0,7748263148.0,176641.0,27.63
"SkyWest, Inc",SKYW,Airlines,0.139483,,,
Smart Powerr Corp,CREG,Environmental & Facilities Services,0.497877,,,-9.62
Smiths Group plc,SMGKF,Industrial Conglomerates,0.198364,,,
Snap-on Incorporated,SNA,Industrial Machinery,0.537141,15355981920.0,104561.0,22.23
Southwest Airlines Co,LUV,Airlines,-0.02915,16751356483.0,6762738.0,-12.85
Spirax-Sarco Engineering plc,SPXSF,Industrial Machinery,0.0,,,
"Spirit AeroSystems Holdings, Inc",SPR,Aerospace & Defense,-0.390377,3937693660.0,1042177.0,-5.49
"Spirit Airlines, Inc",SAVE,Airlines,0.043433,494293165.0,4699486.0,-75.46
Staffing 360 Solutions Inc,STAF,Human Resource & Employment Services,-0.015471,,,-75.68
Standex International Corporation,SXI,Industrial Machinery,0.0,1988329185.0,62131.0,43.18
"Stanley Black & Decker, Inc",BKDKP,Industrial Machinery,0.081742,,,
Star Bulk Carriers Corp,SBLK,Marine,0.105365,,,10.0
Steel Partners Holdings L.P,SPLP,Industrial Conglomerates,-0.9716,805558647.0,216.0,0.0
Steelcase Inc,SCS,Office Services & Supplies,0.452009,1386651717.0,389314.0,55.34
Stem Inc,STEM,Electrical Components & Equipment,0.409776,291881197.0,4046409.0,-64.5
"Stericycle, Inc",SRCL,Environmental & Facilities Services,0.034382,,,
Sterling Construction Company Inc,STRL,Construction & Engineering,0.0,,,
Sumitomo Corporation,SSUMF,Trading Companies & Distributors,0.368132,,,
Sunrun Inc,RUN,Electrical Components & Equipment,0.005762,,,
Sunworks Inc,SUNW,Electrical Components & Equipment,0.251863,,,
"Supreme Industries, Inc",STS,Construction Machinery & Heavy Trucks,0.77565,,,
TAT Technologies Ltd,TATT,Aerospace & Defense,0.12037,,,87.77
TOMI Environmental Solutions Inc,TOMZ,Environmental & Facilities Services,0.2899,,,-24.4
"TPI Composites, Inc",TPIC,Heavy Electrical Equipment,0.639638,,,-80.94
"Taylor Devices, Inc",TAYD,Industrial Machinery,-0.34,,,148.98
Tecogen Inc,TGEN,Building Products,0.593863,,,-4.75
Teledyne Technologies Incorporated,TDY,Aerospace & Defense,-0.182598,19007396836.0,169662.0,-8.46
Tennant Company,TNC,Industrial Machinery,0.286856,2196985363.0,50817.0,76.63
Terex Corporation,TEX,Construction Machinery & Heavy Trucks,0.83191,4284650000.0,478359.0,41.92
"Tetra Tech, Inc",TTEK,Environmental & Facilities Services,0.379007,,,
Textainer Group Holdings Limited,TGH,Trading Companies & Distributors,-0.55918,,,55.9
Textron Inc,TXT,Aerospace & Defense,0.289009,18450340362.0,575710.0,39.24
The Boeing Company,BA,Aerospace & Defense,-0.113912,106164000000.0,7627904.0,
The Brink's Company,BCO,Security & Alarm Services,0.072712,3867671184.0,69564.0,33.85
The Eastern Company,EML,Industrial Machinery,-0.216675,,,71.27
The ExOne Company,XONE,Industrial Machinery,-0.481318,,,
The Goldfield Corporation,GV,Construction & Engineering,-0.76184,,,-0.12
The Gorman-Rupp Company,GRC,Industrial Machinery,-0.1156,972700191.0,30329.0,53.73
"The Greenbrier Companies, Inc",GBX,Construction Machinery & Heavy Trucks,0.054024,1647138194.0,191298.0,
The KeyW Holding Corporation,KEYW,Aerospace & Defense,-0.747603,,,
The L.S. Starrett Company,SCX,Industrial Machinery,-0.52165,119779752.0,45683.0,44.83
The Middleby Corporation,MIDD,Industrial Machinery,0.521233,,,
The Timken Company,TKR,Industrial Machinery,0.593045,6025397224.0,272107.0,9.41
The Toro Company,TTC,Agricultural & Farm Machinery,0.679771,9015527180.0,430054.0,-17.73
The Weir Group PLC,WEGRY,Industrial Machinery,0.64145,,,
"Thermon Group Holdings, Inc",THR,Electrical Components & Equipment,0.371322,1057294121.0,109165.0,34.39
Tianjin Port Development Holdings Limited,TJIPF,Marine Ports & Services,0.0,,,
"Titan International, Inc",TWI,Agricultural & Farm Machinery,0.344114,727441309.0,97285.0,16.1
Titan Machinery Inc,TITN,Trading Companies & Distributors,0.234074,,,
Tokyu Corporation,TOKUF,Railroads,0.52675,,,
Toromont Industries Ltd,TMTNF,Trading Companies & Distributors,-0.52687,,,
Toshiba Corporation,TOSBF,Industrial Conglomerates,0.296181,,,
Toto Ltd,TOTDF,Building Products,0.662189,,,
Toyota Tsusho Corporation,TYHOF,Trading Companies & Distributors,0.503565,,,
Trane Technologies plc,TT,Specialty Industrial Machinery,0.677135,67754945558.0,364090.0,69.23
TransDigm Group Incorporated,TDG,Aerospace & Defense,0.069875,67989219262.0,77002.0,63.02
TransUnion,TRU,Research & Consulting Services,-0.077927,14879800000.0,754489.0,20.26
Transcat Inc,TRNS,Trading Companies & Distributors,0.742128,,,32.19
"Trex Company, Inc",TREX,Building Products,0.32768,10006949703.0,535324.0,82.01
TriMas Corporation,TRS,Industrial Machinery,0.122093,,,
"TriNet Group, Inc",TNET,Human Resource & Employment Services,0.504067,6532862609.0,81820.0,54.17
"Trinity Industries, Inc",TRN,Construction Machinery & Heavy Trucks,0.214097,2220830818.0,165129.0,11.53
Triton International Limited,TRTN,Trading Companies & Distributors,-0.36805,,,44.88
"Triumph Group, Inc",TGI,Aerospace & Defense,0.82574,1046147267.0,426251.0,22.01
"TrueBlue, Inc",TBI,Human Resource & Employment Services,-0.041629,343694603.0,282552.0,-39.86
Tutor Perini Corporation,TPC,Construction & Engineering,0.357125,736160783.0,224604.0,164.87
Twin Disc Incorporated,TWIN,Construction Machinery & Heavy Trucks,0.0,,,
US Xpress Enterprises Inc,USX,Trucking,-0.806167,,,129.1
"USA Truck, Inc",USAK,Trucking,-0.213957,,,
Uber Technologies Inc,UBER,Specialized Consumer Services,0.075978,153619000000.0,8387451.0,148.95
Ufp Industries Inc,UFPI,Building Products,0.288,,,46.51
Ultralife Corporation,ULBI,Electrical Components & Equipment,0.6124,,,
Ultrapetrol Bahamas Ltd,ULTRF,Marine,0.0,,,-90.48
UniFirst Corporation,UNF,Diversified Support Services,0.397007,2984869701.0,35100.0,-3.5
Union Pacific Corporation,UNP,Railroads,0.295481,144645000000.0,1166280.0,18.58
"United Airlines Holdings, Inc",UAL,Airlines,0.482496,,,1.84
"United Parcel Service, Inc",UPS,Air Freight & Logistics,0.286145,125067000000.0,2698826.0,-21.15
"United Rentals, Inc",URI,Trading Companies & Distributors,0.471954,45830064944.0,272401.0,79.66
Univar Solutions Inc,UNVR,Trading Companies & Distributors,0.506245,,,33.67
"Universal Logistics Holdings, Inc",ULH,Trucking,0.0,,,17.24
Upwork Inc,UPWK,Human Resource & Employment Services,0.575268,,,18.42
VSE Corporation,VSEC,Diversified Support Services,0.8457,,,80.37
Valmet Oyj,VOYJF,Industrial Machinery,0.448448,,,
"Valmont Industries, Inc",VMI,Construction & Engineering,0.569543,4471257870.0,66845.0,-26.15
"Vectrus, Inc",VEC,Aerospace & Defense,0.209546,,,
"Verisk Analytics, Inc",VRSK,Research & Consulting Services,0.486092,,,
Veritiv Corporation,VRTV,Trading Companies & Distributors,0.383533,,,29.91
Vertical Aerospace Ltd,EVTL,Aerospace & Defense,0.50167,201668686.0,410118.0,-60.24
Vestas Wind Systems A/S,VWDRY,Heavy Electrical Equipment,0.464044,,,
Viad Corp,VVI,Diversified Support Services,0.4793,756667443.0,28077.0,92.12
Vicor Corporation,VICR,Electrical Components & Equipment,0.273202,,,
VirTra Inc,VTSI,Aerospace & Defense,-0.109067,,,130.0
Virco Mfg. Corporation,VIRC,Office Services & Supplies,0.40154,,,157.83
Virgin Galactic Holdings Inc,SPCE,Aerospace & Defense,0.356669,440044014.0,13102328.0,-66.51
"Vivint Solar, Inc",VSLR,Electrical Components & Equipment,0.378084,,,
Voxeljet Ag,VJET,Industrial Machinery,0.23865,,,
"W.W. Grainger, Inc",GWW,Trading Companies & Distributors,0.426,49600181739.0,108025.0,49.08
WABCO Holdings Inc,WBC,Construction Machinery & Heavy Trucks,0.02635,,,
"WESCO International, Inc",WCC,Trading Companies & Distributors,0.74558,8497022336.0,207112.0,16.92
WSP Global Inc,WSPOF,Construction & Engineering,0.400259,,,
Wabash National Corporation,WNC,Construction Machinery & Heavy Trucks,0.567014,1233096384.0,250211.0,18.83
Wabtec Corporation,WAB,Construction Machinery & Heavy Trucks,0.566404,26088729098.0,931722.0,47.53
"Waste Connections, Inc",WCN,Environmental & Facilities Services,0.162435,43313719532.0,432315.0,16.91
"Waste Management, Inc",WM,Environmental & Facilities Services,-0.01359,83255297343.0,828154.0,24.96
"Watsco, Inc",WSO,Trading Companies & Distributors,0.359204,16841159804.0,167661.0,
"Watts Water Technologies, Inc",WTS,Industrial Machinery,0.365272,6616893127.0,44846.0,24.97
"Welbilt, Inc",WBT,Industrial Machinery,-0.525254,,,
"Werner Enterprises, Inc",WERN,Trucking,0.792572,,,
West Japan Railway Company,WJRYF,Railroads,-0.037425,,,
Wilhelmina,WHLM,Diversified Support Services,0.550194,,,17.11
Willdan Group Inc,WLDN,Research & Consulting Services,0.842757,,,
Williams Industrial Services Group Inc,WLMS,Construction & Engineering,0.0,,,-71.99
Willis Lease Finance Corporation,WLFC,Trading Companies & Distributors,0.467685,,,-13.57
Willscot Mobile Mini Holdings Corp A,WSC,Construction & Engineering,0.0,,,1.24
Wizz Air Holdings Plc,WZZAF,Airlines,-0.0352,,,
Wolters Kluwer N.V,WOLTF,Research & Consulting Services,0.35372,,,
"Woodward, Inc",WWD,Industrial Machinery,0.007701,,,
"XPO Logistics, Inc",XPO,Air Freight & Logistics,0.138961,14565198789.0,361594.0,287.02
Xylem Inc,XYL,Industrial Machinery,0.44707,30939359752.0,525813.0,23.17
Yangtze River Port and Logistics Limited,YRIV,Marine Ports & Services,-0.671661,,,-98.46
Yayyo Inc,YAYO,Trucking,-0.729335,,,-73.33
Yellow Corp,YELL,Trucking,0.0,,,-84.68
ZIM Integrated Shipping Services Ltd,ZIM,Marine,0.267866,1255190953.0,2174222.0,-47.07
ZTO Express (Cayman) Inc,ZTO,Air Freight & Logistics,-0.120556,16627386508.0,1639114.0,-28.46
